factors, number
0,3
2,6
4,10
2,15
4,21
6,28
8,36
6,45
4,55
8,66
8,78
4,91
8,105
14,120
8,136
6,153
6,171
8,190
14,210
8,231
4,253
12,276
18,300
6,325
8,351
16,378
8,406
8,435
8,465
10,496
18,528
8,561
8,595
24,630
12,666
4,703
8,741
24,780
12,820
8,861
8,903
8,946
24,990
12,1035
4,1081
16,1128
24,1176
8,1225
12,1275
16,1326
8,1378
8,1431
16,1485
24,1540
24,1596
8,1653
4,1711
16,1770
16,1830
4,1891
12,1953
36,2016
24,2080
16,2145
8,2211
8,2278
16,2346
16,2415
8,2485
18,2556
18,2628
4,2701
12,2775
24,2850
16,2926
16,3003
8,3081
16,3160
40,3240
10,3321
4,3403
16,3486
32,3570
8,3655
8,3741
24,3828
12,3916
12,4005
22,4095
16,4186
16,4278
8,4371
8,4465
40,4560
20,4656
6,4753
18,4851
36,4950
12,5050
8,5151
8,5253
12,5356
48,5460
16,5565
4,5671
16,5778
16,5886
8,5995
16,6105
32,6216
16,6328
8,6441
16,6555
16,6670
24,6786
12,6903
8,7021
46,7140
36,7260
6,7381
8,7503
16,7626
16,7750
24,7875
12,8001
14,8128
28,8256
16,8385
8,8515
16,8646
32,8778
8,8911
16,9045
48,9180
12,9316
8,9453
8,9591
16,9730
32,9870
8,10011
8,10153
48,10296
48,10440
8,10585
12,10731
24,10878
8,11026
12,11175
12,11325
12,11476
36,11628
24,11781
16,11935
32,12090
16,12246
4,12403
8,12561
40,12720
40,12880
20,13041
10,13203
8,13366
32,13530
16,13695
4,13861
24,14028
36,14196
12,14365
24,14535
24,14706
8,14878
8,15051
24,15225
48,15400
32,15576
8,15753
4,15931
24,16110
24,16290
8,16471
16,16653
24,16836
24,17020
16,17205
16,17391
16,17578
32,17766
30,17955
8,18145
24,18336
24,18528
4,18721
16,18915
48,19110
12,19306
12,19503
12,19701
18,19900
36,20100
8,20301
8,20503
32,20706
32,20910
8,21115
12,21321
48,21528
32,21736
32,21945
16,22155
8,22366
16,22578
8,22791
8,23005
48,23220
48,23436
8,23653
8,23871
32,24090
32,24310
16,24531
8,24753
20,24976
90,25200
18,25425
4,25651
16,25878
16,26106
8,26335
32,26565
48,26796
12,27028
12,27261
24,27495
16,27730
16,27966
16,28203
8,28441
32,28680
32,28920
6,29161
18,29403
24,29646
24,29890
24,30135
16,30381
24,30628
24,30876
16,31125
8,31375
24,31626
48,31878
8,32131
16,32385
64,32640
16,32896
8,33153
16,33411
32,33670
48,33930
12,34191
4,34453
24,34716
48,34980
16,35245
16,35511
16,35778
8,36046
16,36315
16,36585
16,36856
64,37128
16,37401
12,37675
48,37950
16,38226
4,38503
12,38781
72,39060
24,39340
8,39621
8,39903
8,40186
32,40470
32,40755
16,41041
60,41328
44,41616
12,41905
16,42195
16,42486
8,42778
12,43071
24,43365
24,43660
48,43956
16,44253
8,44551
48,44850
48,45150
8,45451
8,45753
32,46056
32,46360
24,46665
12,46971
16,47278
32,47586
16,47895
8,48205
24,48516
24,48828
4,49141
24,49455
48,49770
8,50086
8,50403
16,50721
48,51040
48,51360
16,51681
16,52003
40,52326
60,52650
12,52975
8,53301
24,53628
24,53956
32,54285
16,54615
8,54946
24,55278
12,55611
8,55945
64,56280
32,56616
6,56953
12,57291
32,57630
32,57970
24,58311
24,58653
24,58996
48,59340
16,59685
4,60031
16,60378
16,60726
12,61075
48,61425
80,61776
20,62128
8,62481
16,62835
16,63190
32,63546
16,63903
4,64261
36,64620
54,64980
6,65341
12,65703
48,66066
32,66430
16,66795
8,67161
16,67528
48,67896
24,68265
16,68635
32,69006
16,69378
8,69751
32,70125
48,70500
24,70876
32,71253
16,71631
16,72010
32,72390
8,72771
4,73153
28,73536
112,73920
16,74305
12,74691
24,75078
8,75466
16,75855
32,76245
36,76636
36,77028
8,77421
8,77815
48,78210
24,78606
4,79003
16,79401
96,79800
24,80200
8,80601
16,81003
16,81406
40,81810
40,82215
16,82621
48,83028
24,83436
8,83845
16,84255
16,84666
16,85078
24,85491
24,85905
40,86320
40,86736
16,87153
8,87571
32,87990
32,88410
4,88831
12,89253
36,89676
36,90100
24,90525
16,90951
16,91378
32,91806
32,92235
8,92665
32,93096
32,93528
8,93961
32,94395
32,94830
16,95266
16,95703
8,96141
24,96580
108,97020
36,97461
8,97903
16,98346
32,98790
8,99235
8,99681
48,100128
24,100576
18,101025
36,101475
16,101926
16,102378
8,102831
16,103285
96,103740
24,104196
4,104653
16,105111
64,105570
16,106030
16,106491
16,106953
16,107416
64,107880
16,108345
4,108811
24,109278
48,109746
16,110215
16,110685
24,111156
24,111628
16,112101
24,112575
48,113050
48,113526
12,114003
4,114481
40,114960
80,115440
8,115921
16,116403
48,116886
24,117370
24,117855
12,118341
12,118828
24,119316
24,119805
12,120295
16,120786
32,121278
16,121771
48,122265
96,122760
32,123256
16,123753
8,124251
16,124750
32,125250
8,125751
4,126253
36,126756
72,127260
16,127765
24,128271
24,128778
8,129286
16,129795
32,130305
36,130816
72,131328
16,131841
8,132355
32,132870
32,133386
16,133903
16,134421
48,134940
24,135460
12,135981
12,136503
8,137026
48,137550
24,138075
8,138601
62,139128
48,139656
12,140185
24,140715
48,141246
32,141778
16,142311
16,142845
24,143380
24,143916
8,144453
12,144991
96,145530
32,146070
4,146611
8,147153
40,147696
40,148240
32,148785
16,149331
8,149878
24,150426
36,150975
24,151525
48,152076
48,152628
8,153181
16,153735
32,154290
8,154846
12,155403
24,155961
64,156520
128,157080
16,157641
4,158203
16,158766
32,159330
8,159895
20,160461
60,161028
12,161596
16,162165
16,162735
16,163306
32,163878
16,164451
24,165025
108,165600
36,166176
6,166753
12,167331
32,167910
32,168490
16,169071
16,169653
24,170236
72,170820
24,171405
4,171991
24,172578
48,173166
16,173755
16,174345
32,174936
16,175528
16,176121
64,176715
32,177310
16,177906
16,178503
8,179101
36,179700
36,180300
8,180901
24,181503
24,182106
24,182710
24,183315
8,183921
20,184528
80,185136
32,185745
16,186355
48,186966
24,187578
4,188191
16,188805
96,189420
24,190036
8,190653
8,191271
16,191890
64,192510
16,193131
8,193753
64,194376
80,195000
10,195625
16,196251
32,196878
16,197506
48,198135
24,198765
12,199396
24,200028
8,200661
8,201295
32,201930
48,202566
24,203203
24,203841
84,204480
28,205120
8,205761
8,206403
16,207046
64,207690
32,208335
8,208981
30,209628
60,210276
24,210925
48,211575
32,212226
8,212878
8,213531
16,214185
32,214840
48,215496
24,216153
8,216811
32,217470
32,218130
4,218791
16,219453
48,220116
48,220780
48,221445
24,222111
16,222778
16,223446
16,224115
16,224785
80,225456
40,226128
4,226801
24,227475
72,228150
12,228826
8,229503
16,230181
48,230860
48,231540
16,232221
8,232903
24,233586
48,234270
16,234955
16,235641
32,236328
32,237016
32,237705
16,238395
8,239086
48,239778
24,240471
8,241165
48,241860
46,242556
8,243253
8,243951
48,244650
24,245350
16,246051
32,246753
48,247456
96,248160
16,248865
8,249571
32,250278
16,250986
8,251695
24,252405
36,253116
24,253828
32,254541
64,255255
32,255970
16,256686
8,257403
4,258121
48,258840
96,259560
12,260281
12,261003
16,261726
24,262450
36,263175
12,263901
24,264628
84,265356
28,266085
16,266815
32,267546
16,268278
4,269011
24,269745
120,270480
40,271216
24,271953
12,272691
16,273430
64,274170
32,274911
8,275653
24,276396
48,277140
8,277885
12,278631
48,279378
32,280126
32,280875
16,281625
16,282376
32,283128
16,283881
16,284635
64,285390
32,286146
4,286903
16,287661
96,288420
24,289180
8,289941
16,290703
16,291466
48,292230
24,292995
8,293761
64,294528
32,295296
16,296065
32,296835
16,297606
8,298378
12,299151
36,299925
36,300700
48,301476
16,302253
8,303031
64,303810
64,304590
16,305371
32,306153
96,306936
48,307720
16,308505
8,309291
8,310078
16,310866
16,311655
16,312445
72,313236
72,314028
8,314821
16,315615
32,316410
8,317206
16,318003
32,318801
60,319600
90,320400
12,321201
8,322003
32,322806
64,323610
32,324415
16,325221
24,326028
12,326836
20,327645
20,328455
16,329266
32,330078
16,330891
16,331705
64,332520
64,333336
8,334153
24,334971
96,335790
16,336610
8,337431
8,338253
12,339076
72,339900
48,340725
8,341551
24,342378
24,343206
8,344035
16,344865
48,345696
72,346528
24,347361
16,348195
32,349030
64,349866
16,350703
4,351541
48,352380
72,353220
6,354061
8,354903
16,355746
24,356590
36,357435
36,358281
48,359128
32,359976
24,360825
24,361675
32,362526
16,363378
8,364231
48,365085
72,365940
12,366796
16,367653
16,368511
16,369370
64,370230
16,371091
4,371953
40,372816
80,373680
8,374545
12,375411
48,376278
32,377146
32,378015
32,378885
24,379756
36,380628
24,381501
32,382375
64,383250
16,384126
4,385003
8,385881
64,386760
32,387640
18,388521
18,389403
16,390286
64,391170
16,392055
4,392941
24,393828
48,394716
16,395605
40,396495
40,397386
16,398278
16,399171
16,400065
56,400960
112,401856
16,402753
8,403651
72,404550
72,405450
16,406351
32,407253
48,408156
24,409060
16,409965
8,410871
8,411778
24,412686
48,413595
16,414505
32,415416
64,416328
8,417241
16,418155
32,419070
16,419986
32,420903
16,421821
24,422740
48,423660
8,424581
8,425503
64,426426
96,427350
12,428275
12,429201
60,430128
20,431056
16,431985
48,432915
24,433846
16,434778
8,435711
16,436645
144,437580
36,438516
8,439453
16,440391
32,441330
16,442270
8,443211
16,444153
32,445096
128,446040
64,446985
8,447931
16,448878
32,449826
24,450775
24,451725
48,452676
24,453628
12,454581
24,455535
16,456490
32,457446
16,458403
8,459361
96,460320
72,461280
12,462241
24,463203
24,464166
16,465130
32,466095
16,467061
18,468028
72,468996
32,469965
8,470935
24,471906
48,472878
8,473851
24,474825
96,475800
16,476776
8,477753
16,478731
48,479710
